# nP: 100
# k: 9800
# h: 6
Particle num,x,y,vx,vy,ay,cellRow,cellCol,time(s)
80,374.837341,625.798157,2.394729,-9.787884,-9.800000,,3,2, 34.000053
81,167.352188,118.530495,10.111293,-30.914135,-9.800000,,0,1, 34.000053
82,381.676727,134.707626,2.064219,-21.202507,-9.800000,,0,2, 34.000053
83,85.968628,337.659973,14.405079,-17.627178,-9.800000,,2,0, 34.000053
84,250.457092,161.680145,18.812361,-11.193024,-9.800000,,1,1, 34.000053
85,667.643860,434.034668,19.241144,-12.618259,-9.800000,,2,4, 34.000053
86,550.266113,493.724457,27.939287,-13.654490,-9.800000,,3,3, 34.000053
87,792.793396,124.479591,-3.120345,-8.758950,-9.800000,,0,4, 34.000053
88,599.092468,502.434937,10.926280,-12.792506,-9.800000,,3,3, 34.000053
89,510.253021,508.177704,7.860684,-16.490284,-9.800000,,3,3, 34.000053
90,176.850555,130.768219,10.559106,-11.075211,-9.800000,,0,1, 34.000053
91,426.547241,210.765884,21.714596,-16.550697,-9.800000,,1,2, 34.000053
92,722.156006,296.066528,-23.571154,-10.513033,-9.800000,,1,4, 34.000053
93,745.442932,319.331757,7.447174,-25.236267,-9.800000,,1,4, 34.000053
94,262.241364,485.308258,4.575109,-3.434360,-9.800000,,3,1, 34.000053
95,237.269272,53.712307,24.979427,-26.600300,-9.800000,,0,1, 34.000053
96,785.514465,748.234497,-9.564077,-19.477829,-9.800000,,4,4, 34.000053
97,787.658997,221.651260,17.098623,-22.280647,-9.800000,,1,4, 34.000053
98,284.527557,522.156738,11.489435,-6.777504,-9.800000,,3,1, 34.000053
99,305.898407,695.463745,3.827910,-47.449757,-9.800000,,4,1, 34.000053
100,456.330597,331.269775,14.047782,-28.638027,-9.800000,,2,2, 34.000053
1,163.549362,365.660675,16.412037,-13.605597,-9.800000,,2,1, 35.000038
2,779.863831,259.408203,29.065237,-17.774847,-9.800000,,1,4, 35.000038
3,675.266418,36.024151,16.002256,-21.375717,-9.800000,,0,4, 35.000038
4,483.010254,635.846375,9.684886,-21.901997,-9.800000,,3,3, 35.000038
5,94.015610,631.760132,17.111004,-30.518211,-9.800000,,3,0, 35.000038
6,275.092651,244.342728,23.420265,-8.662009,-9.800000,,1,1, 35.000038
7,314.375214,610.733459,6.746567,-10.681919,-9.800000,,3,1, 35.000038
8,716.977966,279.871429,4.167967,-13.443920,-9.800000,,1,4, 35.000038
9,209.466919,145.161499,6.021646,-32.900387,-9.800000,,0,1, 35.000038
10,464.853546,420.376038,5.465522,-11.264633,-9.800000,,2,2, 35.000038
11,221.118195,115.898132,24.348248,-29.127321,-9.800000,,0,1, 35.000038
12,330.545105,699.853882,5.648931,-20.904018,-9.800000,,4,2, 35.000038
13,422.690521,542.872986,17.787077,-28.848116,-9.800000,,3,2, 35.000038
14,540.571777,209.280487,20.133953,-17.350258,-9.800000,,1,3, 35.000038
15,536.249268,499.153809,24.418400,-22.062561,-9.800000,,3,3, 35.000038
16,678.073120,158.197586,5.595365,-17.807703,-9.800000,,0,4, 35.000038
17,416.860138,499.022919,29.667240,-11.192907,-9.800000,,3,2, 35.000038
18,394.020050,761.744080,21.733681,-7.044471,-9.800000,,4,2, 35.000038
19,335.364868,68.708717,26.969303,-20.071455,-9.800000,,0,2, 35.000038
20,739.349854,556.746521,-22.679741,-16.128536,-9.800000,,3,4, 35.000038
21,70.923256,86.460999,6.825971,-31.002594,-9.800000,,0,0, 35.000038
22,713.051147,462.571655,26.421293,-25.761957,-9.800000,,2,4, 35.000038
23,493.386871,156.524231,7.127142,-25.442213,-9.800000,,0,3, 35.000038
24,599.435120,158.019150,6.441607,-28.686045,-9.800000,,0,3, 35.000038
25,195.809570,493.616974,1.159946,-23.604959,-9.800000,,3,1, 35.000038
26,328.901031,120.552963,17.632484,-12.627947,-9.800000,,0,2, 35.000038
27,195.927002,536.463745,24.189581,-8.839170,-9.800000,,3,1, 35.000038
28,576.279480,484.905945,22.417158,-22.419268,-9.800000,,3,3, 35.000038
29,73.588287,427.422821,11.499847,-8.606657,-9.800000,,2,0, 35.000038
30,337.724823,142.817993,14.116939,-21.627016,-9.800000,,0,2, 35.000038
31,306.915833,647.070801,26.701206,-19.189295,-9.800000,,4,1, 35.000038
32,374.602295,186.415573,8.599055,-8.356031,-9.800000,,1,2, 35.000038
33,633.037903,36.596191,1.141372,-12.640881,-9.800000,,0,3, 35.000038
34,629.057129,127.508865,10.047925,-21.953863,-9.800000,,0,3, 35.000038
35,298.940979,251.919952,11.681270,-21.878422,-9.800000,,1,1, 35.000038
36,485.480988,679.078064,2.301521,-23.264328,-9.800000,,4,3, 35.000038
37,170.904388,194.518478,12.265419,-17.045643,-9.800000,,1,1, 35.000038
38,46.342339,254.886414,9.672453,-7.562090,-9.800000,,1,0, 35.000038
39,154.685394,57.333466,12.008113,-5.747121,-9.800000,,0,0, 35.000038
40,538.526733,583.320435,22.633825,-14.645293,-9.800000,,3,3, 35.000038
41,544.352600,721.067688,18.985920,-11.555315,-9.800000,,4,3, 35.000038
42,696.434692,339.310883,18.921038,-29.066332,-9.800000,,2,4, 35.000038
43,400.335052,343.922119,9.774198,-21.253695,-9.800000,,2,2, 35.000038
44,76.712143,26.894449,5.954528,-22.677511,-9.800000,,0,0, 35.000038
45,262.791992,573.856995,23.905880,-31.726717,-9.800000,,3,1, 35.000038
46,188.545776,133.524261,5.746849,-33.088505,-9.800000,,0,1, 35.000038
47,150.246216,153.911087,27.490871,-10.260063,-9.800000,,0,0, 35.000038
48,651.675415,92.771736,7.214698,-9.692858,-9.800000,,0,4, 35.000038
49,490.979675,349.406281,23.106161,-7.403284,-9.800000,,2,3, 35.000038
50,67.211205,461.377197,1.408468,-30.312691,-9.800000,,2,0, 35.000038
51,54.454479,260.367645,10.994101,-5.477458,-9.800000,,1,0, 35.000038
52,588.015869,106.934158,14.072358,-9.045717,-9.800000,,0,3, 35.000038
53,602.843384,300.613037,7.951116,-32.159222,-9.800000,,1,3, 35.000038
54,746.226929,405.595978,28.558857,-24.493338,-9.800000,,2,4, 35.000038
55,615.212769,714.298279,25.615047,-6.296306,-9.800000,,4,3, 35.000038
56,128.844620,458.777039,20.718826,-20.184040,-9.800000,,2,0, 35.000038
57,733.432495,570.397156,-29.532921,-24.906950,-9.800000,,3,4, 35.000038
58,478.140442,140.517075,9.860820,-21.697941,-9.800000,,0,2, 35.000038
59,787.249695,418.284332,-19.917707,-17.504248,-9.800000,,2,4, 35.000038
60,700.288269,677.609863,22.154415,-11.501911,-9.800000,,4,4, 35.000038
61,203.968292,662.992371,17.149773,-21.081110,-9.800000,,4,1, 35.000038
62,405.154968,734.022461,27.543201,-27.416574,-9.800000,,4,2, 35.000038
63,388.946533,629.859497,1.470789,-22.759281,-9.800000,,3,2, 35.000038
64,651.718506,155.307816,2.398575,-23.920401,-9.800000,,0,4, 35.000038
65,603.705200,359.359253,20.610453,-12.482924,-9.800000,,2,3, 35.000038
66,227.898224,244.847198,18.035517,-30.680214,-9.800000,,1,1, 35.000038
67,605.551880,460.173767,15.509897,-24.065357,-9.800000,,2,3, 35.000038
68,754.012878,73.661247,-23.552643,-30.078642,-9.800000,,0,4, 35.000038
69,222.387573,731.762024,28.401331,-10.249457,-9.800000,,4,1, 35.000038
